Symbol,Company Name,Market Cap,% Change,Volume,Revenue
GOOGL,Alphabet Inc.,"1,675.62B",2.27%,745116,307.39B
META,"Meta Platforms, Inc.","1,264.74B",3.25%,262625,134.90B
NFLX,"Netflix, Inc.",258.66B,1.81%,23073,33.72B
DIS,The Walt Disney Company,201.88B,0.11%,8537962,88.94B
TMUS,"T-Mobile US, Inc.",199.67B,-1.81%,1929,78.56B
VZ,Verizon Communications Inc.,168.23B,-1.00%,13527631,133.97B
CMCSA,Comcast Corporation,167.41B,-0.97%,122182,121.57B
T,AT&T Inc.,121.96B,-0.76%,22270975,122.43B
RELX,RELX PLC,82.21B,0.28%,809036,11.60B
NTES,"NetEase, Inc.",71.51B,2.20%,2133,14.59B
AMX,"América Móvil, SAB de CV",58.98B,-1.30%,781325,36.47B
DASH,"DoorDash, Inc.",53.74B,0.81%,18102,8.64B
SPOT,Spotify Technology S.A.,53.30B,0.87%,796490,14.72B
CHTR,"Charter Communications, Inc.",40.13B,2.05%,2295822,54.61B
EA,Electronic Arts Inc.,36.23B,-0.09%,19787,7.66B
BIDU,"Baidu, Inc.",34.19B,-1.58%,62361,18.98B
BCE,BCE Inc.,33.15B,0.94%,2049571,18.25B
ORAN,Orange S.A.,30.64B,-0.17%,279754,46.25B
CHT,"Chunghwa Telecom Co., Ltd.",30.03B,0.50%,44104,7.26B
TU,TELUS Corporation,25.83B,0.91%,1480419,15.12B
RBLX,Roblox Corporation,25.34B,0.63%,5816939,2.80B
TLK,Telkom Indonesia (Persero) Tbk PT,24.68B,0.85%,168964,9.48B
TTWO,"Take-Two Interactive Software, Inc.",24.63B,0.77%,7927,5.40B
VOD,Vodafone Group PLC,24.21B,1.12%,227624,47.57B
RCI,Rogers Communications Inc.,23.57B,0.61%,1835491,14.52B
PINS,"Pinterest, Inc.",23.51B,2.60%,10097889,3.06B
LYV,"Live Nation Entertainment, Inc.",22.89B,1.33%,1680072,22.75B
WBD,"Warner Bros. Discovery, Inc.",20.52B,3.92%,75168,41.32B
SNAP,Snap Inc.,19.46B,6.18%,41041135,4.61B
OMC,Omnicom Group Inc.,18.36B,2.36%,1543963,14.69B
WMG,Warner Music Group Corp.,18.28B,-3.60%,2,6.30B
VIV,Telefônica Brasil S.A.,17.47B,0.57%,896462,10.70B
TME,Tencent Music Entertainment Group,17.33B,7.69%,10401071,3.89B
FWONA,Formula One Group - Series A,16.59B,0.87%,50756,12.53B
FWONK,Formula One Group - Series C,16.57B,1.21%,586060,-
SIRI,Sirius XM Holdings Inc.,16.06B,-0.24%,31321,8.95B
NWSA,News Corporation,15.07B,0.42%,2368063,9.97B
FOXA,Fox Corporation,13.01B,0.84%,3996503,14.56B
Z,"Zillow Group, Inc.",12.93B,-0.48%,48989,1.95B
IPG,"The Interpublic Group of Companies, Inc.",12.32B,2.17%,4048521,10.89B
TWLO,Twilio Inc.,11.12B,4.44%,4422530,4.15B
WPP,WPP plc,9.85B,1.28%,70812,18.79B
LSXMB,Liberty SiriusXM Group - Series B,9.78B,2.24%,233,-
LSXMA,Liberty SiriusXM Group - Series A,9.55B,0.10%,186,-
LSXMK,Liberty SiriusXM Group - Series C,9.55B,-0.10%,1297538,-
MTCH,"Match Group, Inc.",9.14B,0.80%,6582800,3.36B
TIMB,TIM S.A.,9.05B,2.40%,650768,4.07B
ROKU,"Roku, Inc.",9.05B,0.64%,55548,3.48B
PSO,Pearson plc,9.04B,1.17%,269004,4.65B
SKM,"SK Telecom Co.,Ltd",8.35B,0.18%,213553,13.60B
LBRDK,Liberty Broadband Corporation,8.15B,0.69%,1,981.00M
PARA,Paramount Global,7.44B,2.86%,73051,29.65B
KT,KT Corporation,7.31B,0.42%,1137569,20.80B
EDR,"Endeavor Group Holdings, Inc.",7.31B,0.41%,799598,5.96B
NYT,The New York Times Company,7.11B,0.74%,796231,2.43B
TKO,"TKO Group Holdings, Inc.",7.10B,1.66%,1182704,1.67B
LBTYK,Liberty Global plc,6.56B,-0.50%,1684178,7.49B
FYBR,"Frontier Communications Parent, Inc.",5.90B,0.08%,5506,5.74B
NXST,"Nexstar Media Group, Inc.",5.43B,1.12%,508730,4.93B
PHI,PLDT Inc.,4.95B,0.09%,17487,3.68B
BILI,Bilibili Inc.,4.51B,-1.94%,67690,3.18B
IAC,IAC Inc.,4.46B,0.89%,378588,4.37B
MSGS,Madison Square Garden Sports Corp.,4.45B,0.10%,104746,879.61M
TKC,Turkcell Iletisim Hizmetleri A.S.,4.44B,1.60%,143939,3.29B
IQ,"iQIYI, Inc.",3.61B,0.94%,13223,4.50B
IRDM,Iridium Communications Inc.,3.48B,0.07%,739,790.72M
CCOI,"Cogent Communications Holdings, Inc.",3.31B,-5.18%,4520,940.92M
LLYVA,Liberty Live Group - Series A,3.30B,0.54%,1,-
ATHM,Autohome Inc.,3.20B,0.12%,199292,985.69M
TIGO,Millicom International Cellular S.A.,3.15B,1.44%,425,5.57B
ZD,"Ziff Davis, Inc.",3.09B,0.40%,212728,1.36B
USM,United States Cellular Corporation,2.96B,1.34%,153373,3.91B
TGNA,TEGNA Inc.,2.86B,4.32%,3094297,2.91B
TEO,Telecom Argentina S.A.,2.84B,-4.66%,124025,4.13B
LLYVK,Liberty Live Group - Series C,2.75B,0.70%,328789,-
IDCC,"InterDigital, Inc.",2.70B,-1.63%,376641,549.59M
PLTK,Playtika Holding Corp.,2.63B,4.42%,974535,2.57B
YELP,Yelp Inc.,2.59B,0.69%,516393,1.34B
PLAY,"Dave & Buster's Entertainment, Inc.",2.56B,1.02%,545,2.17B
CARG,"CarGurus, Inc.",2.50B,3.24%,374,914.24M
CABO,"Cable One, Inc.",2.50B,0.66%,67939,1.68B
GSAT,"Globalstar, Inc.",2.45B,2.36%,4794592,223.81M
MANU,Manchester United plc,2.44B,0.42%,572765,797.40M
BATRK,Atlanta Braves Holdings Inc,2.44B,1.89%,112087,640.67M
BATRA,Atlanta Braves Holdings Inc,2.43B,1.68%,279,640.67M
CMPR,Cimpress plc,2.41B,0.39%,854,3.21B
WB,Weibo Corporation,2.17B,2.62%,742,1.74B
CNK,"Cinemark Holdings, Inc.",2.15B,3.46%,3962438,3.07B
LGF.A,Lions Gate Entertainment Corp.,2.04B,-0.44%,699002,3.98B
WLY,"John Wiley & Sons, Inc.",2.04B,12.65%,545241,1.96B
BOWL,Bowlero Corp.,1.95B,1.80%,528443,1.09B
YY,JOYY Inc.,1.93B,-0.72%,824867,2.30B
GETY,"Getty Images Holdings, Inc.",1.90B,1.69%,179562,922.08M
CRTO,Criteo S.A.,1.86B,1.00%,149041,1.95B
SSTK,"Shutterstock, Inc.",1.84B,3.50%,652614,874.59M
MSGE,Madison Square Garden Entertainment Corp.,1.82B,-1.05%,453733,894.04M
VEON,VEON Ltd.,1.81B,-1.46%,25,1.72B
SPHR,Sphere Entertainment Co.,1.79B,5.76%,1318794,229.80M
LUMN,"Lumen Technologies, Inc.",1.75B,1.17%,7044228,14.56B
TDS,"Telephone and Data Systems, Inc.",1.74B,1.11%,512070,5.16B
TV,"Grupo Televisa, S.A.B.",1.70B,-0.68%,879798,3.88B
MGNI,"Magnite, Inc.",1.62B,-0.60%,6385,619.71M
IAS,Integral Ad Science Holding Corp.,1.54B,3.66%,5922,474.37M
STGW,Stagwell Inc.,1.52B,3.93%,439666,2.58B
MAX,"MediaAlpha, Inc.",1.43B,2.06%,280236,388.15M
GENI,Genius Sports Limited,1.32B,-5.84%,4719018,412.98M
TBLA,Taboola.com Ltd.,1.30B,2.56%,482,1.44B
MOMO,Hello Group Inc.,1.30B,-0.29%,2227,1.68B
LILAK,Liberty Latin America Ltd.,1.29B,-1.10%,1392,4.51B
ANGI,Angi Inc.,1.29B,-1.54%,6082,1.36B
OPRA,Opera Limited,1.27B,12.35%,80243,396.83M
AMC,"AMC Entertainment Holdings, Inc.",1.21B,0.88%,19103275,4.81B
ATUS,"Altice USA, Inc.",1.19B,1.96%,1427313,9.24B
SEAT,Vivid Seats Inc.,1.15B,6.20%,425,679.57M
GOGO,Gogo Inc.,1.14B,-0.45%,873070,397.58M
SCHL,Scholastic Corporation,1.13B,2.06%,210558,1.64B
ADV,Advantage Solutions Inc.,1.12B,6.86%,274,4.22B
PERI,Perion Network Ltd.,1.07B,0.94%,605,743.16M
IDT,IDT Corporation,935.72M,-1.99%,196993,1.22B
SHEN,Shenandoah Telecommunications Company,930.54M,-1.49%,79593,287.38M
KIND,"Nextdoor Holdings, Inc.",909.29M,4.52%,1771341,218.31M
HUYA,HUYA Inc.,908.90M,-6.60%,1656868,1.03B
IMAX,IMAX Corporation,889.58M,0.72%,361832,374.84M
TTGT,"TechTarget, Inc.",882.66M,0.06%,54384,229.96M
FVRR,Fiverr International Ltd.,857.64M,0.32%,709139,361.38M
CCO,"Clear Channel Outdoor Holdings, Inc.",851.35M,-1.14%,976154,2.13B
SBGI,"Sinclair Broadcast Group, Inc.",846.54M,-1.04%,1280,3.13B
DLX,Deluxe Corporation,839.73M,1.48%,114069,2.19B
QNST,"QuinStreet, Inc.",838.18M,3.32%,243393,549.59M
IHS,IHS Holding Limited,812.99M,-2.46%,415825,2.14B
THRY,"Thryv Holdings, Inc.",762.00M,3.38%,141189,916.96M
ASTS,"AST SpaceMobile, Inc.",754.74M,-4.84%,77202,-
SMWB,Similarweb Ltd.,730.52M,-,224994,218.02M
GRPN,"Groupon, Inc.",724.54M,2.37%,15507,525.35M
ATEX,Anterix Inc.,682.27M,-2.09%,25,3.54M
DDI,"DoubleDown Interactive Co., Ltd.",580.77M,-3.22%,3848,308.86M
GTN,"Gray Television, Inc.",568.98M,1.76%,622661,3.28B
GRVY,"Gravity Co., Ltd.",526.94M,0.05%,26788,558.92M
AMCX,AMC Networks Inc.,524.92M,-3.21%,563936,2.71B
RBBN,Ribbon Communications Inc.,507.04M,0.34%,341,826.34M
EVER,"EverQuote, Inc.",504.89M,4.20%,503348,287.92M
FUBO,fuboTV Inc.,503.17M,-5.20%,12730611,1.37B
ATNI,"ATN International, Inc.",501.82M,-1.04%,83120,755.27M
CNSL,"Consolidated Communications Holdings, Inc.",499.97M,0.70%,380898,1.11B
BOC,Boston Omaha Corporation,499.00M,0.19%,117096,94.18M
RSVR,"Reservoir Media, Inc.",475.80M,0.41%,36091,140.52M
MCS,The Marcus Corporation,453.00M,1.05%,380069,729.58M
ZH,Zhihu Inc.,448.54M,1.36%,679558,574.22M
GDEV,GDEV Inc.,444.23M,1.81%,853,-
