Symbol,Company Name,Market Cap,% Change,Volume,Revenue
AMZN,"Amazon.com, Inc.","1,836.70B",1.91%,446171,574.79B
TSLA,"Tesla, Inc.",568.96B,1.20%,2681743,96.77B
HD,"The Home Depot, Inc.",374.77B,-0.24%,1817698,152.67B
TM,Toyota Motor Corporation,333.85B,-1.77%,337357,308.27B
MCD,McDonald's Corporation,210.20B,-0.62%,2084902,25.49B
BABA,Alibaba Group Holding Limited,181.22B,-1.59%,11941330,130.82B
PDD,PDD Holdings Inc.,154.97B,0.43%,103160,27.31B
NKE,"NIKE, Inc.",148.77B,0.57%,7486926,51.54B
LOW,"Lowe's Companies, Inc.",138.75B,0.25%,1779773,86.38B
BKNG,Booking Holdings Inc.,117.14B,1.71%,1389,21.37B
TJX,"The TJX Companies, Inc.",109.14B,-0.66%,5727123,52.33B
ABNB,"Airbnb, Inc.",104.85B,-0.20%,19240,9.92B
SBUX,Starbucks Corporation,102.98B,-0.76%,25627,36.69B
STLA,Stellantis N.V.,83.20B,1.40%,5296264,210.60B
MELI,"MercadoLibre, Inc.",77.67B,0.29%,3138,14.47B
RACE,Ferrari N.V.,75.79B,1.23%,161715,6.63B
CMG,"Chipotle Mexican Grill, Inc.",73.77B,-,123964,9.87B
MAR,"Marriott International, Inc.",71.53B,-0.08%,759,23.71B
ORLY,"O'Reilly Automotive, Inc.",63.86B,0.72%,131,15.81B
LULU,Lululemon Athletica Inc.,57.70B,1.95%,2223,9.19B
HMC,"Honda Motor Co., Ltd.",57.55B,-2.21%,1140227,136.70B
AZO,"AutoZone, Inc.",53.74B,0.64%,114874,17.83B
CPRT,"Copart, Inc.",53.08B,1.08%,3159,4.06B
DHI,"D.R. Horton, Inc.",51.53B,2.25%,2969284,35.93B
HLT,Hilton Worldwide Holdings Inc.,51.34B,0.65%,1009200,10.24B
F,Ford Motor Company,49.19B,0.24%,38235639,176.19B
ROST,"Ross Stores, Inc.",49.16B,-1.42%,73539,20.38B
GM,General Motors Company,46.35B,-1.99%,15061323,171.84B
LEN,Lennar Corporation,45.41B,2.10%,2693817,34.23B
YUM,"Yum! Brands, Inc.",39.43B,0.59%,1565620,7.08B
FLUT,Flutter Entertainment plc,39.02B,0.55%,198764,9.28B
LVS,Las Vegas Sands Corp.,38.12B,1.80%,3120723,10.37B
LI,Li Auto Inc.,37.69B,-3.70%,101648,17.47B
JD,"JD.com, Inc.",37.65B,-3.69%,178066,152.98B
QSR,Restaurant Brands International Inc.,35.91B,-0.76%,1453757,7.02B
SE,Sea Limited,33.68B,0.20%,6575657,13.06B
CPNG,"Coupang, Inc.",32.94B,-3.11%,13269239,24.38B
RCL,Royal Caribbean Cruises Ltd.,31.91B,-2.09%,2016240,13.90B
TCOM,Trip.com Group Limited,28.04B,0.32%,3806,6.28B
TSCO,Tractor Supply Company,26.88B,-0.63%,280,14.56B
ULTA,"Ulta Beauty, Inc.",26.63B,-,576,10.88B
EBAY,eBay Inc.,26.30B,0.47%,14274,10.11B
NVR,"NVR, Inc.",24.84B,-0.35%,25243,9.31B
PHM,"PulteGroup, Inc.",24.14B,2.12%,1598495,16.06B
DECK,Deckers Outdoor Corporation,23.41B,0.10%,256266,4.12B
MBLY,Mobileye Global Inc.,22.78B,2.05%,45901,2.08B
APTV,Aptiv PLC,21.98B,0.82%,2153987,20.05B
ROL,"Rollins, Inc.",21.89B,0.96%,1293191,3.07B
CCL,Carnival Corporation & plc,20.91B,-2.19%,24755937,21.59B
GPC,Genuine Parts Company,20.89B,0.66%,1044811,23.09B
DRI,"Darden Restaurants, Inc.",20.68B,-1.54%,1268596,11.01B
BALL,Ball Corporation,20.22B,1.75%,1794279,14.03B
DKNG,DraftKings Inc.,19.54B,2.28%,59701,3.67B
EXPE,"Expedia Group, Inc.",18.06B,0.70%,7199,12.84B
IHG,InterContinental Hotels Group PLC,17.43B,-0.91%,118619,4.62B
BBY,"Best Buy Co., Inc.",17.13B,1.67%,2691944,43.45B
PKG,Packaging Corporation of America,16.57B,0.81%,468863,7.80B
YUMC,"Yum China Holdings, Inc.",16.37B,-1.49%,3249697,10.98B
H,Hyatt Hotels Corporation,16.19B,-0.44%,746802,6.67B
MGA,Magna International Inc.,15.70B,0.94%,861519,42.80B
DPZ,"Domino's Pizza, Inc.",15.57B,0.03%,509189,4.48B
WSM,"Williams-Sonoma, Inc.",15.38B,3.25%,1160494,7.92B
DKS,"DICK'S Sporting Goods, Inc.",14.89B,0.88%,908393,12.70B
CVNA,Carvana Co.,14.36B,2.13%,5479431,10.77B
BURL,"Burlington Stores, Inc.",14.28B,7.48%,2570283,9.35B
LKQ,LKQ Corporation,13.73B,-0.06%,1246841,13.87B
MGM,MGM Resorts International,13.64B,2.09%,2910014,16.16B
FND,"Floor & Decor Holdings, Inc.",13.55B,0.95%,1306252,4.41B
AMCR,Amcor plc,13.30B,2.39%,9275112,14.03B
KMX,"CarMax, Inc.",12.74B,0.10%,1138020,26.63B
VFS,VinFast Auto Ltd.,12.57B,1.54%,46128,1.16B
TOL,"Toll Brothers, Inc.",12.51B,1.67%,1245476,10.16B
IP,International Paper Company,12.43B,0.48%,2538319,18.92B
RIVN,"Rivian Automotive, Inc.",12.23B,13.42%,7935811,4.43B
NIO,NIO Inc.,12.00B,-,45717600,7.84B
WRK,WestRock Company,11.61B,2.46%,1443686,20.01B
RL,Ralph Lauren Corporation,11.49B,0.27%,906490,6.60B
FIVE,"Five Below, Inc.",11.42B,-0.59%,544,3.34B
HTHT,H World Group Limited,11.29B,0.38%,905651,2.75B
CASY,"Casey's General Stores, Inc.",11.17B,2.07%,663,14.59B
WYNN,"Wynn Resorts, Limited",11.11B,1.99%,4315,6.53B
SCI,Service Corporation International,11.03B,-0.89%,617475,4.10B
WING,Wingstop Inc.,10.83B,0.43%,130,460.06M
TPR,"Tapestry, Inc.",10.76B,0.62%,2569245,6.73B
PAG,"Penske Automotive Group, Inc.",10.23B,0.15%,120821,29.53B
ONON,On Holding AG,10.19B,-1.90%,4084889,1.86B
TXRH,"Texas Roadhouse, Inc.",10.12B,-0.75%,21,4.63B
BBWI,"Bath & Body Works, Inc.",9.89B,-2.21%,2418674,7.41B
ALV,"Autoliv, Inc.",9.83B,0.81%,583325,10.48B
TPX,"Tempur Sealy International, Inc.",9.67B,0.86%,985618,4.93B
VIPS,Vipshop Holdings Limited,9.47B,-1.52%,2981767,15.92B
CCK,"Crown Holdings, Inc.",9.40B,2.37%,871867,12.01B
SKX,"Skechers U.S.A., Inc.",9.32B,0.54%,1286107,8.00B
LNW,"Light & Wonder, Inc.",9.15B,1.04%,594651,2.90B
CZR,"Caesars Entertainment, Inc.",9.01B,1.71%,14921,11.53B
BIRK,Birkenstock Holding plc,8.99B,0.44%,164702,1.69B
XPEV,XPeng Inc.,8.77B,-1.56%,10948162,3.13B
MUSA,Murphy USA Inc.,8.70B,1.69%,101612,21.53B
MTN,"Vail Resorts, Inc.",8.68B,-1.15%,453398,2.87B
GNTX,Gentex Corporation,8.59B,0.43%,6102,2.30B
NCLH,Norwegian Cruise Line Holdings Ltd.,8.36B,-2.00%,13630109,8.55B
CHDN,Churchill Downs Incorporated,8.27B,1.04%,1935,2.46B
LAD,"Lithia Motors, Inc.",8.17B,-0.87%,196132,31.04B
AS,"Amer Sports, Inc.",8.13B,-14.25%,1439044,4.37B
ETSY,"Etsy, Inc.",8.13B,-0.31%,11354,2.75B
LEA,Lear Corporation,8.11B,2.22%,733104,23.47B
PVH,PVH Corp.,8.08B,0.06%,674896,9.22B
GPK,Graphic Packaging Holding Company,7.97B,2.80%,2610131,9.43B
SN,"SharkNinja, Inc.",7.76B,0.54%,850033,4.25B
MHK,"Mohawk Industries, Inc.",7.64B,1.33%,376037,11.14B
CROX,"Crocs, Inc.",7.50B,3.00%,10426,3.96B
CHWY,"Chewy, Inc.",7.45B,1.39%,5164021,11.01B
BWA,BorgWarner Inc.,7.43B,1.06%,3948539,14.20B
LEVI,Levi Strauss & Co.,7.28B,0.27%,1745004,6.18B
W,Wayfair Inc.,7.19B,0.03%,2084311,12.00B
HAS,"Hasbro, Inc.",7.18B,0.04%,12997,5.00B
LCID,"Lucid Group, Inc.",7.17B,-2.19%,646686,595.27M
GPS,"The Gap, Inc.",7.17B,1.42%,18441167,14.83B
CAVA,"CAVA Group, Inc.",7.04B,4.17%,2681092,728.70M
MAT,"Mattel, Inc.",6.91B,0.83%,789,5.22B
BERY,"Berry Global Group, Inc.",6.84B,-1.07%,2124724,12.46B
ALSN,"Allison Transmission Holdings, Inc.",6.82B,-1.10%,617716,3.04B
BFAM,Bright Horizons Family Solutions Inc.,6.76B,1.10%,222281,2.42B
