Symbol,Company Name,Market Cap,% Change,Volume,Revenue
WMT,Walmart Inc.,486.07B,-,10489871,648.13B
PG,The Procter & Gamble Company,377.94B,0.66%,4766087,83.93B
COST,Costco Wholesale Corporation,348.59B,1.60%,122613,245.65B
KO,The Coca-Cola Company,256.33B,-0.18%,12636757,45.75B
PEP,"PepsiCo, Inc.",224.03B,0.07%,11751,91.47B
FMX,"Fomento Económico Mexicano, SAB de CV",217.48B,-0.11%,454948,34.56B
PM,Philip Morris International Inc.,142.07B,0.46%,2828972,35.17B
UL,Unilever PLC,122.75B,-0.08%,2566794,66.90B
BUD,Anheuser-Busch InBev SA/NV,122.11B,1.67%,2088378,74.94B
MDLZ,"Mondelez International, Inc.",95.60B,-0.87%,587,36.02B
DEO,Diageo plc,83.22B,0.58%,595042,21.66B
TGT,Target Corporation,79.20B,-1.15%,3631144,106.89B
MO,"Altria Group, Inc.",73.27B,0.24%,9685603,24.48B
CL,Colgate-Palmolive Company,72.55B,1.10%,3159073,19.46B
BTI,British American Tobacco p.l.c.,66.09B,-0.07%,4126477,34.54B
MNST,Monster Beverage Corporation,62.19B,1.84%,8402,7.14B
EL,The Estée Lauder Companies Inc.,53.11B,1.90%,1273793,15.16B
STZ,"Constellation Brands, Inc.",45.41B,2.78%,1276903,9.82B
KMB,Kimberly-Clark Corporation,42.41B,1.87%,2561111,20.43B
KHC,The Kraft Heinz Company,41.89B,-1.29%,7971,26.64B
ABEV,Ambev S.A.,40.74B,0.39%,7104854,15.07B
KDP,Keurig Dr Pepper Inc.,40.18B,-0.82%,8776,14.81B
SYY,Sysco Corporation,39.63B,0.88%,2348615,77.51B
HSY,The Hershey Company,39.26B,-0.16%,1799946,11.16B
KR,The Kroger Co.,38.88B,9.88%,17753813,147.80B
KVUE,Kenvue Inc.,37.91B,1.12%,21106932,15.44B
GIS,"General Mills, Inc.",36.50B,-1.47%,3099103,20.20B
DG,Dollar General Corporation,34.88B,1.88%,2884886,39.04B
DLTR,"Dollar Tree, Inc.",32.69B,0.59%,5173,29.68B
CCEP,Coca-Cola Europacific Partners PLC,31.98B,1.38%,2191,20.34B
ADM,Archer-Daniels-Midland Company,28.88B,0.18%,10799695,96.90B
BF.A,Brown-Forman Corporation,26.33B,-1.60%,67067,4.26B
CHD,"Church & Dwight Co., Inc.",25.38B,1.64%,1303529,5.87B
CELH,"Celsius Holdings, Inc.",20.85B,2.37%,25155,1.32B
KOF,"Coca-Cola FEMSA, SAB de CV",20.22B,0.62%,95463,597.02M
TSN,"Tyson Foods, Inc.",19.16B,0.51%,1328967,52.94B
CLX,The Clorox Company,19.08B,2.15%,1006190,7.31B
HRL,Hormel Foods Corporation,18.60B,-0.64%,2238337,12.14B
MKC,"McCormick & Company, Incorporated",18.33B,0.12%,1030926,6.66B
K,Kellanova Co,18.32B,-0.48%,2672720,13.12B
MKC.V,"McCormick & Company, Incorporated",18.26B,-0.32%,282,6.66B
EDU,New Oriental Education & Technology Group Inc.,15.25B,-4.90%,2238036,3.58B
LW,"Lamb Weston Holdings, Inc.",14.46B,-2.65%,1530307,6.35B
BG,Bunge Limited,13.35B,0.66%,1752276,59.54B
TAP,Molson Coors Beverage Company,13.35B,1.99%,1612053,11.70B
TAP.A,Molson Coors Beverage Company,13.35B,-,1,11.70B
CAG,"Conagra Brands, Inc.",13.29B,-0.54%,3265586,12.17B
USFD,US Foods Holding Corp.,13.25B,3.12%,2565760,35.60B
SJM,The J. M. Smucker Company,12.77B,-2.26%,1271770,8.21B
CPB,Campbell Soup Company,12.54B,-2.84%,3373512,9.27B
PFGC,Performance Food Group Company,12.09B,1.04%,396060,57.87B
ACI,"Albertsons Companies, Inc.",11.97B,1.61%,5838711,79.16B
ELF,"e.l.f. Beauty, Inc.",11.62B,1.41%,740039,890.15M
COTY,Coty Inc.,11.34B,-0.63%,2272707,6.01B
BJ,"BJ's Wholesale Club Holdings, Inc.",10.52B,9.33%,4391353,19.54B
BRBR,"BellRing Brands, Inc.",8.10B,1.96%,1031776,1.73B
TAL,TAL Education Group,7.81B,1.92%,8456803,1.33B
COKE,"Coca-Cola Consolidated, Inc.",7.71B,1.55%,1136,6.65B
INGR,Ingredion Incorporated,7.62B,-0.03%,449536,8.16B
PPC,Pilgrim's Pride Corporation,7.57B,1.31%,840991,17.36B
DAR,Darling Ingredients Inc.,6.90B,0.90%,1192589,6.79B
SFM,"Sprouts Farmers Market, Inc.",6.41B,-0.05%,206,6.84B
POST,"Post Holdings, Inc.",6.24B,-1.05%,313683,7.39B
LANC,Lancaster Colony Corporation,5.64B,0.25%,123111,1.87B
BRFS,BRF S.A.,5.52B,2.15%,2739262,10.17B
FRPT,"Freshpet, Inc.",5.22B,-0.46%,461638,766.90M
FLO,"Flowers Foods, Inc.",4.73B,-0.75%,861611,5.09B
FIZZ,National Beverage Corp.,4.71B,-1.33%,125,1.18B
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",4.60B,0.48%,9,2.00B
IPAR,"Inter Parfums, Inc.",4.51B,-0.16%,3,1.32B
LOPE,"Grand Canyon Education, Inc.",4.01B,0.35%,105817,960.90M
ASAI,Sendas Distribuidora S.A.,3.95B,-0.27%,331553,13.66B
SAM,"The Boston Beer Company, Inc.",3.59B,1.06%,125587,2.01B
SMPL,The Simply Good Foods Company,3.28B,-0.48%,3,1.25B
GHC,Graham Holdings Company,3.22B,-0.37%,7076,4.41B
NOMD,Nomad Foods Limited,3.21B,-1.96%,598735,3.38B
NWL,Newell Brands Inc.,3.20B,3.48%,11160,8.13B
HIMS,"Hims & Hers Health, Inc.",3.07B,2.50%,5275845,872.00M
RLX,RLX Technology Inc.,2.99B,-0.53%,2787857,183.64M
HELE,Helen of Troy Limited,2.90B,0.63%,200,2.00B
CALM,"Cal-Maine Foods, Inc.",2.82B,0.65%,250,2.67B
JJSF,J&J Snack Foods Corp.,2.79B,0.19%,82797,1.56B
LRN,"Stride, Inc.",2.63B,0.13%,434024,1.94B
CENT,Central Garden & Pet Company,2.62B,1.21%,76385,3.32B
PRMW,Primo Water Corporation,2.62B,1.74%,919584,1.77B
CENTA,Central Garden & Pet Company,2.59B,1.13%,200,3.32B
GO,Grocery Outlet Holding Corp.,2.58B,1.23%,777087,3.97B
STRA,"Strategic Education, Inc.",2.58B,-0.85%,72096,1.13B
PSMT,"PriceSmart, Inc.",2.56B,1.06%,144234,4.52B
SPB,"Spectrum Brands Holdings, Inc.",2.51B,1.05%,322548,2.90B
AKO.B,Embotelladora Andina S.A.,2.44B,-1.69%,14925,3.12B
COUR,"Coursera, Inc.",2.36B,0.27%,1275673,635.76M
TBBB,BBB Foods Inc.,2.36B,-3.58%,984952,2.34B
SOVO,"Sovos Brands, Inc.",2.33B,0.13%,1743056,1.02B
AKO.A,Embotelladora Andina S.A.,2.28B,0.43%,387,3.12B
DNUT,"Krispy Kreme, Inc.",2.17B,1.10%,618,1.69B
LAUR,"Laureate Education, Inc.",2.13B,1.41%,1000,1.48B
CCU,Compania Cervecerias Unidas S.A.,2.13B,1.87%,88826,3.19B
THS,"TreeHouse Foods, Inc.",1.94B,-0.36%,376891,3.43B
ATGE,Adtalem Global Education Inc.,1.92B,2.64%,320625,1.50B
EPC,Edgewell Personal Care Company,1.91B,2.62%,298334,2.27B
ANDE,"The Andersons, Inc.",1.82B,1.60%,1182,14.75B
GOTU,Gaotu Techedu Inc.,1.82B,-3.16%,5085972,417.60M
