Symbol,Company Name,Market Cap,% Change,Volume,Revenue
XOM,Exxon Mobil Corporation,423.65B,0.56%,13154754,344.58B
CVX,Chevron Corporation,277.42B,0.70%,8508351,200.95B
SHEL,Shell plc,207.20B,0.63%,3850487,386.20B
TTE,TotalEnergies SE,153.17B,0.63%,841328,218.95B
COP,Conoco Phillips,132.63B,0.67%,5096031,58.57B
PBR,Petróleo Brasileiro S.A. - Petrobras,108.21B,0.06%,15609470,124.47B
PBR.A,Petróleo Brasileiro S.A. - Petrobras,105.98B,-0.06%,8010044,124.47B
BP,BP p.l.c.,103.16B,0.03%,6802824,213.03B
CNQ,Canadian Natural Resources Limited,77.23B,0.33%,2351555,27.04B
ENB,Enbridge Inc.,75.88B,1.85%,5524663,32.82B
EQNR,Equinor ASA,75.74B,0.39%,3714406,150.81B
SLB,Schlumberger Limited,72.74B,1.50%,6815134,33.14B
EOG,"EOG Resources, Inc.",68.35B,1.17%,2772587,24.19B
PSX,Phillips 66,63.84B,1.66%,2527000,149.89B
MPC,Marathon Petroleum Corporation,63.30B,2.16%,2614679,150.31B
EPD,Enterprise Products Partners L.P.,61.11B,0.36%,3615218,49.72B
PXD,Pioneer Natural Resources Company,56.08B,0.55%,1377414,19.36B
OXY,Occidental Petroleum Corporation,53.69B,0.30%,7366082,28.92B
E,Eni S.p.A.,51.26B,0.44%,204309,142.22B
ET,Energy Transfer LP,51.16B,0.26%,8017560,78.59B
VLO,Valero Energy Corporation,49.55B,3.18%,2610707,144.77B
OKE,"ONEOK, Inc.",45.25B,-0.19%,1747694,17.68B
SU,Suncor Energy Inc.,44.94B,-0.40%,6415732,38.15B
HES,Hess Corporation,44.33B,0.92%,3660584,10.65B
WMB,"The Williams Companies, Inc.",43.71B,-0.37%,4990099,10.91B
TRP,TC Energy Corporation,41.78B,0.57%,1347090,11.98B
MPLX,MPLX LP,41.14B,0.05%,1050384,11.28B
KMI,"Kinder Morgan, Inc.",39.66B,0.28%,10458004,15.33B
WDS,Woodside Energy Group Ltd,37.04B,-,1421933,13.99B
LNG,"Cheniere Energy, Inc.",36.19B,0.33%,1428995,20.39B
IMO,Imperial Oil Limited,34.56B,0.99%,381317,38.32B
CVE,Cenovus Energy Inc.,33.62B,0.34%,21753478,39.25B
FANG,"Diamondback Energy, Inc.",32.33B,0.90%,1803,8.41B
HAL,Halliburton Company,31.47B,2.38%,6381368,23.02B
BKR,Baker Hughes Company,30.80B,0.88%,21779,25.51B
DVN,Devon Energy Corporation,28.86B,0.97%,5852334,15.26B
CQP,"Cheniere Energy Partners, L.P.",23.55B,-1.58%,320430,11.70B
TRGP,Targa Resources Corp.,23.27B,0.42%,1379023,16.06B
EC,Ecopetrol S.A.,22.02B,0.19%,1461249,32.91B
TS,Tenaris S.A.,21.82B,1.10%,1333823,14.87B
CTRA,Coterra Energy Inc.,19.67B,-0.46%,6292164,5.91B
PBA,Pembina Pipeline Corporation,19.32B,1.05%,912675,6.86B
CCJ,Cameco Corporation,19.13B,5.86%,5873403,1.95B
EQT,EQT Corporation,16.56B,-0.88%,2870345,6.91B
MRO,Marathon Oil Corporation,13.91B,0.57%,7684368,6.70B
OVV,Ovintiv Inc.,13.37B,-0.59%,5769055,10.88B
WES,"Western Midstream Partners, LP",13.14B,-0.78%,863106,3.11B
PR,Permian Resources Corporation,12.03B,1.79%,11682431,3.12B
PAA,"Plains All American Pipeline, L.P.",11.77B,0.24%,75,48.71B
TPL,Texas Pacific Land Corporation,11.69B,1.09%,20524,631.60M
DINO,HF Sinclair Corporation,11.36B,2.90%,2467057,31.96B
CHK,Chesapeake Energy Corporation,10.71B,-0.48%,7200,8.72B
FTI,TechnipFMC plc,9.63B,3.01%,5267527,7.82B
APA,APA Corporation,9.24B,-0.26%,66483,8.19B
YPF,YPF SA,8.64B,-1.87%,2847239,18.76B
AR,Antero Resources Corporation,8.04B,-1.45%,3373775,4.68B
RRC,Range Resources Corporation,7.96B,0.27%,2226357,3.37B
HESM,Hess Midstream LP,7.93B,-0.71%,616407,1.35B
MTDR,Matador Resources Company,7.70B,1.27%,1397419,2.81B
SWN,Southwestern Energy Company,7.64B,-,7210586,6.52B
WFRD,Weatherford International plc,7.63B,3.88%,631075,5.14B
CIVI,"Civitas Resources, Inc.",6.93B,0.50%,1036378,3.48B
NOV,NOV Inc.,6.79B,2.49%,2930730,8.58B
CHRD,Chord Energy Corporation,6.74B,0.12%,1344,3.90B
AM,Antero Midstream Corporation,6.49B,-1.03%,2665292,1.04B
UGP,Ultrapar Participações S.A.,6.40B,-0.34%,1041126,27.15B
NE,Noble Corporation,6.37B,4.01%,1030938,2.59B
VNOM,Viper Energy Partners LP,6.21B,-0.57%,103,827.70M
CSAN,Cosan S.A.,6.15B,-0.31%,210373,8.15B
CHX,ChampionX Corporation,6.07B,1.57%,8631,3.76B
PBF,PBF Energy Inc.,6.03B,5.21%,2174310,38.32B
MUR,Murphy Oil Corporation,6.01B,3.66%,3023847,3.46B
ENLC,"EnLink Midstream, LLC",5.73B,-0.39%,1296456,6.90B
VVV,Valvoline Inc.,5.66B,0.93%,1151744,1.48B
DTM,"DT Midstream, Inc.",5.65B,-0.05%,442718,922.00M
SUN,Sunoco LP,5.33B,-1.07%,345307,23.07B
FRO,Frontline Ltd.,5.19B,0.82%,1355958,1.80B
SM,SM Energy Company,5.14B,-0.02%,1374128,2.37B
PTEN,"Patterson-UTI Energy, Inc.",4.94B,3.86%,181,4.15B
MGY,Magnolia Oil & Gas Corporation,4.86B,1.80%,3429440,1.23B
ETRN,Equitrans Midstream Corporation,4.84B,-0.18%,2634343,1.39B
VAL,Valaris Limited,4.73B,2.97%,871158,1.78B
NFG,National Fuel Gas Company,4.70B,0.55%,433566,2.04B
CPG,Crescent Point Energy Corp.,4.70B,0.26%,6577642,2.53B
NXE,NexGen Energy Ltd.,4.22B,5.50%,7690146,-
RIG,Transocean Ltd.,4.17B,0.19%,9625916,2.83B
TDW,Tidewater Inc.,4.17B,0.47%,868530,1.01B
PAGP,"Plains GP Holdings, L.P.",4.06B,0.46%,4,48.71B
HP,"Helmerich & Payne, Inc.",3.92B,2.91%,916229,2.83B
ERF,Enerplus Corporation,3.65B,-,2964450,1.69B
NOG,"Northern Oil and Gas, Inc.",3.64B,0.84%,971520,2.17B
STNG,Scorpio Tankers Inc.,3.63B,2.03%,741483,1.34B
LBRT,Liberty Energy Inc.,3.61B,1.88%,2430508,4.75B
EURN,Euronav NV,3.59B,-0.11%,3948834,1.63B
VIST,"Vista Energy, SAB de CV",3.59B,-3.08%,408341,1.17B
BTU,Peabody Energy Corporation,3.44B,2.52%,3461639,4.95B
CRC,California Resources Corporation,3.41B,-8.06%,2434539,2.80B
CVI,"CVR Energy, Inc.",3.36B,4.50%,695645,9.25B
ARCH,"Arch Resources, Inc.",3.32B,0.09%,591886,3.15B
SDRL,Seadrill Limited,3.29B,3.57%,1005053,1.50B
BSM,"Black Stone Minerals, L.P.",3.27B,0.71%,373394,592.22M
CNX,CNX Resources Corporation,3.19B,-0.61%,2061181,3.43B
WHD,"Cactus, Inc.",3.07B,3.83%,782325,1.10B
NS,NuStar Energy L.P.,3.05B,-1.28%,481948,1.63B
TRMD,TORM plc,3.00B,-1.66%,16422,1.52B
