Symbol,Company Name,Market Cap,% Change,Volume,Revenue
BRK.B,Berkshire Hathaway Inc.,867.80B,-0.39%,4055983,439.34B
V,Visa Inc.,576.02B,-0.77%,4687949,33.35B
JPM,JPMorgan Chase & Co.,541.14B,-0.88%,7332435,158.10B
MA,Mastercard Incorporated,436.16B,-0.86%,2154288,25.10B
BAC,Bank of America Corporation,280.50B,0.59%,35816283,98.58B
WFC,Wells Fargo & Company,203.91B,-0.19%,15052071,82.60B
AXP,American Express Company,161.73B,2.28%,2934061,55.59B
BX,Blackstone Inc.,151.31B,1.22%,2762139,8.02B
HSBC,HSBC Holdings plc,144.76B,0.53%,2194103,66.06B
HDB,HDFC Bank Limited,141.77B,0.39%,1516768,13.76B
MS,Morgan Stanley,140.86B,0.56%,9138102,54.14B
RY,Royal Bank of Canada,140.54B,1.19%,524583,40.69B
SPGI,S&P Global Inc.,134.13B,0.12%,877678,12.50B
MUFG,"Mitsubishi UFJ Financial Group, Inc.",129.07B,1.39%,4399940,30.79B
GS,"The Goldman Sachs Group, Inc.",126.46B,-0.29%,1403839,46.25B
SCHW,The Charles Schwab Corporation,124.24B,0.13%,4062989,18.84B
BLK,"BlackRock, Inc.",123.68B,0.16%,377783,17.86B
PGR,The Progressive Corporation,114.86B,0.06%,2391047,62.11B
C,Citigroup Inc.,109.50B,0.75%,14010431,78.46B
TD,The Toronto-Dominion Bank,107.74B,0.66%,3115530,36.86B
CB,Chubb Limited,100.96B,-0.69%,1494432,49.74B
MMC,"Marsh & McLennan Companies, Inc.",99.92B,0.32%,1065714,22.74B
UBS,UBS Group AG,96.02B,2.30%,4432764,37.16B
IBN,ICICI Bank Limited,92.62B,-0.42%,3515585,22.65B
KKR,KKR & Co. Inc.,87.41B,1.01%,2557719,14.50B
ICE,"Intercontinental Exchange, Inc.",80.14B,-0.42%,2223362,9.90B
SMFG,"Sumitomo Mitsui Financial Group, Inc.",79.27B,2.38%,1726313,28.63B
CME,CME Group Inc.,76.87B,-2.29%,657,5.58B
MCO,Moody's Corporation,71.82B,0.66%,662428,5.92B
SAN,"Banco Santander, S.A.",68.43B,2.14%,2659763,62.99B
BMO,Bank of Montreal,68.10B,1.52%,414276,24.15B
USB,U.S. Bancorp,67.52B,0.58%,5982374,25.74B
ITUB,Itaú Unibanco Holding S.A.,66.85B,-0.72%,13344949,21.85B
BN,Brookfield Corporation,65.68B,1.49%,1590398,95.62B
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",63.20B,2.84%,8555471,35.86B
PYPL,"PayPal Holdings, Inc.",63.16B,0.65%,140974,29.77B
APO,"Apollo Global Management, Inc.",62.95B,1.94%,1437231,32.64B
AON,Aon plc,62.80B,-0.13%,329662,13.38B
BNS,The Bank of Nova Scotia,61.29B,0.91%,1607237,24.42B
PNC,"The PNC Financial Services Group, Inc.",59.85B,0.04%,2112679,21.49B
NU,Nu Holdings Ltd.,54.86B,2.31%,24433577,8.03B
AJG,Arthur J. Gallagher & Co.,54.18B,0.52%,554520,10.07B
COF,Capital One Financial Corporation,52.36B,1.41%,1350896,26.36B
MFG,"Mizuho Financial Group, Inc.",51.65B,3.28%,1363692,15.13B
MET,"MetLife, Inc.",51.36B,0.46%,2538632,66.91B
AIG,"American International Group, Inc.",50.88B,-0.17%,2662386,46.80B
TRV,"The Travelers Companies, Inc.",50.55B,-0.10%,649812,41.36B
TFC,Truist Financial Corporation,49.74B,-0.94%,7391067,21.28B
ING,ING Groep N.V.,48.25B,1.95%,2766066,24.67B
AFL,Aflac Incorporated,47.48B,0.16%,1412256,18.70B
CM,Canadian Imperial Bank of Commerce,46.34B,0.77%,1952648,17.63B
IBKR,"Interactive Brokers Group, Inc.",45.52B,-0.72%,195,4.34B
MSCI,MSCI Inc.,43.51B,0.12%,375689,2.53B
