Symbol,Company Name,Market Cap,% Change,Volume,Revenue
LLY,Eli Lilly and Company,741.28B,0.05%,3478461,34.12B
NVO,Novo Nordisk A/S,610.53B,8.95%,575251,34.41B
UNH,UnitedHealth Group Incorporated,438.36B,1.31%,4969859,371.62B
JNJ,Johnson & Johnson,383.81B,-0.29%,5105733,85.16B
ABBV,AbbVie Inc.,320.22B,-0.27%,4965268,54.32B
MRK,"Merck & Co., Inc.",314.02B,0.19%,8578243,60.12B
TMO,Thermo Fisher Scientific Inc.,225.55B,1.04%,1403850,42.86B
ABT,Abbott Laboratories,209.82B,1.32%,4142682,40.11B
AZN,AstraZeneca PLC,205.94B,1.41%,64553,45.81B
NVS,Novartis AG,205.67B,1.08%,1490791,46.66B
DHR,Danaher Corporation,187.97B,0.48%,2822360,23.89B
PFE,Pfizer Inc.,152.69B,-1.47%,43551066,58.50B
AMGN,Amgen Inc.,146.23B,-1.35%,30358,28.19B
ISRG,"Intuitive Surgical, Inc.",136.76B,1.16%,1078,7.12B
SYK,Stryker Corporation,134.99B,0.74%,610464,20.50B
SNY,Sanofi,120.29B,0.80%,880,51.60B
ELV,Elevance Health Inc.,117.33B,-0.31%,723066,171.34B
MDT,Medtronic plc,113.06B,-0.47%,6057702,32.32B
BMY,Bristol-Myers Squibb Company,107.74B,-0.19%,16769303,45.01B
REGN,"Regeneron Pharmaceuticals, Inc.",106.67B,0.12%,192,13.12B
VRTX,Vertex Pharmaceuticals Incorporated,106.38B,-0.32%,1602,9.87B
CI,Cigna Corporation,100.89B,0.86%,1775725,195.27B
BSX,Boston Scientific Corporation,98.91B,0.59%,4028196,14.24B
CVS,CVS Health Corporation,93.55B,-0.05%,6668514,357.78B
GILD,"Gilead Sciences, Inc.",90.48B,1.42%,224375,27.12B
GSK,GSK plc,88.85B,2.25%,4300795,38.39B
HCA,"HCA Healthcare, Inc.",85.87B,0.39%,851698,64.97B
ZTS,Zoetis Inc.,83.11B,-1.10%,3297079,8.54B
MCK,McKesson Corporation,69.00B,0.65%,921603,301.51B
BDX,"Becton, Dickinson and Company",68.65B,1.27%,1601639,19.49B
EW,Edwards Lifesciences Corporation,56.41B,6.20%,6845681,6.00B
DXCM,"DexCom, Inc.",51.37B,-0.36%,23996,3.62B
IQV,IQVIA Holdings Inc.,47.07B,2.22%,860934,14.98B
IDXX,"IDEXX Laboratories, Inc.",46.80B,1.03%,125,3.66B
TAK,Takeda Pharmaceutical Company Limited,46.63B,1.16%,1427448,29.40B
A,"Agilent Technologies, Inc.",43.76B,2.11%,1630779,6.74B
ALC,Alcon Inc.,42.98B,1.36%,726584,9.46B
CNC,Centene Corporation,42.61B,2.67%,2605351,154.00B
GEHC,GE HealthCare Technologies Inc.,42.20B,-0.47%,2904,19.55B
HUM,Humana Inc.,41.11B,0.48%,1574689,106.37B
COR,Cencora,38.52B,1.26%,1131817,271.58B
HLN,Haleon plc,38.46B,2.64%,7495612,14.31B
MRNA,"Moderna, Inc.",38.01B,1.41%,12047,6.85B
VEEV,Veeva Systems Inc.,36.16B,2.50%,889587,2.36B
BIIB,Biogen Inc.,31.89B,0.83%,84340,9.84B
MTD,Mettler-Toledo International Inc.,29.01B,2.96%,148335,3.79B
ICLR,ICON PLC,28.05B,1.31%,359531,8.12B
RMD,ResMed Inc.,28.01B,4.51%,1220405,4.50B
CAH,"Cardinal Health, Inc.",26.91B,2.76%,1903846,216.15B
WST,"West Pharmaceutical Services, Inc.",26.55B,2.22%,934072,2.95B
ZBH,"Zimmer Biomet Holdings, Inc.",26.18B,1.22%,711344,7.39B
ALGN,"Align Technology, Inc.",23.34B,2.31%,504,3.86B
ARGX,argenx SE,23.05B,-0.51%,809,39.48M
STE,STERIS plc,23.03B,1.72%,295686,5.41B
MOH,"Molina Healthcare, Inc.",22.70B,0.81%,223752,34.07B
BAX,Baxter International Inc.,22.09B,1.16%,3353911,14.81B
ILMN,"Illumina, Inc.",21.61B,0.64%,1286,4.50B
BNTX,BioNTech SE,21.55B,-0.33%,1918,7.04B
WAT,Waters Corporation,21.37B,3.44%,536890,2.96B
COO,"The Cooper Companies, Inc.",20.25B,0.21%,1404585,3.67B
PHG,Koninklijke Philips N.V.,19.02B,2.60%,931544,20.19B
ALNY,"Alnylam Pharmaceuticals, Inc.",18.84B,0.13%,548992,1.83B
GMAB,Genmab A/S,18.83B,1.91%,253999,2.44B
LH,Laboratory Corporation of America Holdings,18.36B,0.26%,575864,12.16B
WBA,"Walgreens Boots Alliance, Inc.",18.04B,0.24%,26829,142.41B
RPRX,Royalty Pharma plc,17.95B,1.01%,119,2.35B
