Symbol,Company Name,Market Cap,% Change,Volume,Revenue
GE,General Electric Company,173.59B,4.39%,11235738,67.95B
CAT,Caterpillar Inc.,167.61B,1.37%,1711782,67.06B
UNP,Union Pacific Corporation,151.86B,-0.78%,1996375,24.12B
HON,Honeywell International Inc.,132.14B,1.05%,3995,36.66B
UPS,"United Parcel Service, Inc.",130.07B,0.56%,3010635,90.96B
BA,The Boeing Company,123.88B,1.01%,5658345,77.79B
RTX,RTX Corp,120.73B,0.32%,5481916,68.92B
ETN,Eaton Corporation plc,120.30B,1.48%,1864761,23.20B
LMT,Lockheed Martin Corporation,103.90B,-0.81%,1083269,67.57B
DE,Deere & Company,102.05B,2.37%,1835392,60.79B
ADP,"Automatic Data Processing, Inc.",100.34B,0.78%,37685,18.59B
WM,"Waste Management, Inc.",83.88B,-0.32%,1000655,20.43B
CP,Canadian Pacific Railway Limited,83.87B,2.66%,2137464,9.44B
CNI,Canadian National Railway Company,82.68B,1.65%,832041,12.65B
ITW,Illinois Tool Works Inc.,77.77B,0.47%,1154307,16.11B
GD,General Dynamics Corporation,74.80B,-0.24%,615595,42.27B
CSX,CSX Corporation,74.29B,-0.45%,4965,14.66B
TRI,Thomson Reuters Corporation,70.84B,-0.57%,198039,6.79B
NOC,Northrop Grumman Corporation,68.48B,-1.01%,573719,39.29B
PH,Parker-Hannifin Corporation,68.22B,1.55%,448676,19.83B
TT,Trane Technologies plc,65.02B,0.39%,471715,17.68B
TDG,TransDigm Group Incorporated,64.99B,0.51%,123781,6.98B
CTAS,Cintas Corporation,63.70B,0.41%,1457,9.19B
EMR,Emerson Electric Co.,63.05B,0.44%,1563034,15.91B
FDX,FedEx Corporation,62.32B,0.74%,1536039,87.95B
PCAR,PACCAR Inc,59.90B,-0.99%,1226,35.13B
RSG,"Republic Services, Inc.",57.83B,0.11%,654018,14.96B
ROP,"Roper Technologies, Inc.",57.81B,1.13%,71,6.18B
NSC,Norfolk Southern Corporation,57.68B,0.38%,918991,12.16B
CARR,Carrier Global Corporation,52.77B,3.17%,5019380,22.10B
MMM,3M Company,51.14B,0.11%,3114538,32.68B
GWW,"W.W. Grainger, Inc.",48.63B,0.66%,159959,16.48B
ODFL,"Old Dominion Freight Line, Inc.",48.22B,1.75%,392,5.87B
