Symbol,Company Name,Market Cap,% Change,Volume,Revenue
LIN,Linde plc,224.07B,0.36%,817,32.85B
BHP,BHP Group Limited,146.41B,1.23%,2770302,55.34B
RIO,Rio Tinto Group,103.48B,2.25%,3396381,54.04B
SHW,The Sherwin-Williams Company,85.50B,2.43%,1329907,23.05B
SCCO,Southern Copper Corporation,65.51B,4.12%,1178420,9.90B
ECL,Ecolab Inc.,64.12B,0.46%,857709,15.32B
CRH,CRH plc,58.38B,-,2555945,34.95B
VALE,Vale S.A.,57.82B,0.15%,21851054,43.84B
FCX,Freeport-McMoRan Inc.,54.71B,4.38%,12756934,22.86B
APD,"Air Products and Chemicals, Inc.",54.50B,0.85%,1762042,12.42B
NUE,Nucor Corporation,45.32B,0.95%,944486,34.71B
DOW,Dow Inc.,40.56B,0.14%,4568403,44.62B
NEM,Newmont Corporation,39.06B,0.80%,10694535,11.81B
CTVA,"Corteva, Inc.",37.92B,0.85%,2101722,17.23B
MLM,"Martin Marietta Materials, Inc.",37.83B,0.75%,490545,6.78B
VMC,Vulcan Materials Company,35.86B,1.43%,484274,7.78B
PPG,"PPG Industries, Inc.",33.15B,0.56%,1580912,18.25B
LYB,LyondellBasell Industries N.V.,32.13B,-0.89%,2096015,41.11B
DD,"DuPont de Nemours, Inc.",29.35B,1.29%,2416867,12.07B
GOLD,Barrick Gold Corporation,27.58B,1.21%,21545916,11.40B
AEM,Agnico Eagle Mines Limited,27.09B,1.17%,2332192,6.63B
NTR,Nutrien Ltd.,26.59B,2.48%,1961393,29.06B
PKX,POSCO Holdings Inc.,25.70B,1.60%,63709,59.55B
FNV,Franco-Nevada Corporation,21.57B,2.49%,954107,1.22B
MT,ArcelorMittal S.A.,21.19B,2.52%,1431130,68.28B
TECK,Teck Resources Limited,21.15B,4.05%,3129009,11.29B
STLD,"Steel Dynamics, Inc.",21.03B,1.89%,172,18.80B
IFF,International Flavors & Fragrances Inc.,20.13B,2.27%,1581426,11.48B
WPM,Wheaton Precious Metals Corp.,20.06B,0.94%,1778698,938.63M
RS,Reliance Steel & Aluminum Co.,18.49B,0.25%,138013,14.81B
WLK,Westlake Corporation,18.28B,1.01%,370977,12.55B
JHX,James Hardie Industries plc,18.10B,1.32%,18803,3.85B
AVTR,"Avantor, Inc.",17.19B,1.03%,3477186,6.97B
CE,Celanese Corporation,17.06B,3.41%,753576,10.94B
CF,"CF Industries Holdings, Inc.",15.80B,2.82%,2443891,6.63B
SUZ,Suzano S.A.,15.40B,1.44%,1492881,8.16B
RPM,RPM International Inc.,15.28B,1.43%,341372,7.34B
ALB,Albemarle Corporation,14.05B,2.57%,4185458,9.62B
GFI,Gold Fields Limited,13.73B,2.32%,3731221,4.29B
SQM,Sociedad Química y Minera de Chile S.A.,13.26B,0.80%,772742,10.71B
CX,"CEMEX, SAB de CV",11.55B,0.51%,3800329,15.58B
X,United States Steel Corporation,10.64B,0.78%,2904414,18.05B
EMN,Eastman Chemical Company,10.47B,2.42%,1135384,9.21B
MOS,The Mosaic Company,10.12B,1.53%,3900253,13.70B
CLF,Cleveland-Cliffs Inc.,10.01B,4.18%,9379725,22.00B
AU,AngloGold Ashanti Limited,9.22B,0.73%,2036971,4.50B
EXP,Eagle Materials Inc.,8.83B,1.31%,160297,2.25B
FMC,FMC Corporation,7.91B,3.06%,1863875,4.49B
TX,Ternium S.A.,7.74B,-0.18%,119805,17.63B
SUM,"Summit Materials, Inc.",7.59B,-0.18%,895580,2.62B
GGB,Gerdau S.A.,7.45B,-1.40%,3922601,15.58B
RGLD,"Royal Gold, Inc.",7.34B,0.88%,638,605.72M
AXTA,Axalta Coating Systems Ltd.,7.28B,1.44%,1000575,5.18B
ICL,ICL Group Ltd,7.04B,1.48%,508258,7.54B
UFPI,"UFP Industries, Inc.",7.01B,1.20%,53,7.22B
OLN,Olin Corporation,6.67B,3.28%,1184518,6.83B
KGC,Kinross Gold Corporation,6.65B,1.69%,13129458,4.24B
WFG,West Fraser Timber Co. Ltd.,6.53B,-1.57%,73150,6.45B
CMC,Commercial Metals Company,6.24B,1.92%,684691,8.58B
NEU,NewMarket Corporation,6.00B,-0.33%,33791,2.70B
ESI,Element Solutions Inc,5.84B,1.90%,1004784,2.33B
AA,Alcoa Corporation,5.36B,5.85%,7529372,10.55B
AGI,Alamos Gold Inc.,5.35B,1.73%,2070633,1.02B
