Symbol,Company Name,Market Cap,% Change,Volume,Revenue
PLD,"Prologis, Inc.",122.77B,-0.26%,1948267,8.02B
AMT,American Tower Corporation,95.48B,-0.62%,1623440,11.14B
EQIX,"Equinix, Inc.",85.73B,-0.06%,20124,8.19B
SPG,"Simon Property Group, Inc.",56.11B,-0.45%,1350483,5.66B
WELL,Welltower Inc.,52.36B,-0.03%,1402830,6.64B
PSA,Public Storage,49.99B,0.83%,724289,4.52B
CCI,Crown Castle Inc.,48.46B,-0.41%,1774929,6.98B
DLR,"Digital Realty Trust, Inc.",48.29B,1.13%,1323053,5.48B
O,Realty Income Corporation,44.92B,0.15%,4702967,4.08B
CSGP,"CoStar Group, Inc.",34.86B,-2.66%,104025,2.46B
EXR,Extra Space Storage Inc.,32.04B,1.69%,1108482,2.56B
VICI,VICI Properties Inc.,30.18B,0.28%,4007907,3.61B
CBRE,"CBRE Group, Inc.",28.39B,0.61%,1454202,31.95B
AVB,"AvalonBay Communities, Inc.",26.17B,0.43%,489074,2.77B
WY,Weyerhaeuser Company,25.12B,0.03%,2549078,7.67B
EQR,Equity Residential,23.89B,0.51%,1333515,2.87B
IRM,Iron Mountain Incorporated,23.68B,0.72%,1111317,5.48B
SBAC,SBA Communications Corporation,23.46B,0.53%,27252,2.71B
ARE,"Alexandria Real Estate Equities, Inc.",21.84B,0.44%,472556,2.89B
INVH,Invitation Homes Inc.,21.16B,-0.89%,2660830,2.43B
KSPI,Joint Stock Company Kaspi.kz,20.04B,-3.15%,4975,4.31B
VTR,"Ventas, Inc.",17.52B,0.23%,983890,4.50B
SUI,"Sun Communities, Inc.",17.14B,0.49%,883537,3.22B
ESS,"Essex Property Trust, Inc.",16.12B,-0.08%,385475,1.67B
MAA,"Mid-America Apartment Communities, Inc.",15.80B,2.11%,778027,2.15B
BEKE,KE Holdings Inc.,15.64B,-1.25%,4041956,10.22B
AMH,American Homes 4 Rent,15.22B,-0.03%,2699189,1.62B
HST,"Host Hotels & Resorts, Inc.",14.93B,-0.53%,184931,5.31B
UDR,"UDR, Inc.",13.40B,1.18%,2028581,1.63B
KIM,Kimco Realty Corporation,13.03B,0.31%,1848877,1.78B
ELS,"Equity LifeStyle Properties, Inc.",12.98B,-0.53%,1175453,1.49B
WPC,W. P. Carey Inc.,12.56B,-0.47%,1418098,1.74B
GLPI,"Gaming and Leisure Properties, Inc.",12.34B,0.22%,72531,1.44B
LAMR,Lamar Advertising Company,12.31B,2.58%,22120,2.11B
REXR,"Rexford Industrial Realty, Inc.",11.60B,0.33%,656214,797.83M
REG,Regency Centers Corporation,11.41B,0.08%,41763,1.32B
CPT,Camden Property Trust,10.51B,0.48%,905105,1.56B
CUBE,CubeSmart,10.09B,1.07%,1492848,1.05B
BXP,"Boston Properties, Inc.",9.95B,0.05%,1468147,3.27B
NLY,"Annaly Capital Management, Inc.",9.81B,1.03%,3628718,-1.44B
DOC,"Healthpeak Properties, Inc.",9.50B,-0.17%,8525968,2.18B
JLL,Jones Lang LaSalle Incorporated,8.88B,-0.60%,236323,20.76B
EGP,"EastGroup Properties, Inc.",8.65B,-0.09%,252102,570.59M
FRT,Federal Realty Investment Trust,8.53B,0.18%,654487,1.13B
OHI,"Omega Healthcare Investors, Inc.",7.80B,-1.10%,1248668,949.74M
NNN,NNN REIT Inc,7.65B,1.52%,1385273,828.11M
FSV,FirstService Corporation,7.49B,2.19%,54561,4.33B
COLD,"Americold Realty Trust, Inc.",7.38B,1.16%,2310710,2.67B
FR,"First Industrial Realty Trust, Inc.",7.18B,-0.79%,615262,614.03M
RHP,"Ryman Hospitality Properties, Inc.",7.01B,-0.40%,232414,2.16B
STAG,"STAG Industrial, Inc.",6.88B,-0.94%,904567,707.84M
BRX,Brixmor Property Group Inc.,6.81B,0.09%,1082906,1.25B
AGNC,AGNC Investment Corp.,6.69B,0.52%,358479,251.00M
STWD,"Starwood Property Trust, Inc.",6.59B,0.39%,923744,2.05B
CIGI,Colliers International Group Inc.,5.89B,0.38%,113644,4.34B
ADC,Agree Realty Corporation,5.78B,-0.14%,1026881,537.50M
TRNO,Terreno Realty Corporation,5.59B,-0.03%,524272,323.59M
VNO,Vornado Realty Trust,5.39B,-1.29%,1327947,1.81B
RITM,Rithm Capital Corp.,5.26B,0.83%,2475703,3.69B
RYN,Rayonier Inc.,5.22B,-0.97%,372898,1.06B
HR,Healthcare Realty Trust Incorporated,5.17B,-1.45%,2291888,1.34B
NSA,National Storage Affiliates Trust,5.00B,1.14%,855765,858.06M
PECO,"Phillips Edison & Company, Inc.",4.81B,-0.92%,1,610.12M
KRG,Kite Realty Group Trust,4.76B,-,1428733,823.00M
AIRC,Apartment Income REIT Corp.,4.59B,0.80%,1175050,820.04M
KRC,Kilroy Realty Corporation,4.31B,0.97%,548569,1.13B
EPRT,"Essential Properties Realty Trust, Inc.",4.14B,0.57%,951903,359.60M
APLE,"Apple Hospitality REIT, Inc.",3.97B,0.36%,1269095,1.34B
RLJ,RLJ Lodging Trust,3.79B,-0.33%,755037,1.33B
HHH,Howard Hughes Holdings Inc,3.77B,-0.03%,124287,1.02B
PCH,PotlatchDeltic Corporation,3.69B,1.09%,350580,1.02B
IRT,"Independence Realty Trust, Inc.",3.65B,1.52%,2198483,660.98M
MAC,The Macerich Company,3.64B,1.69%,1413580,884.07M
CUZ,Cousins Properties Incorporated,3.60B,-0.38%,989631,802.87M
PK,Park Hotels & Resorts Inc.,3.59B,-1.10%,2217958,2.70B
BXMT,"Blackstone Mortgage Trust, Inc.",3.50B,1.36%,807684,670.67M
SLG,SL Green Realty Corp.,3.30B,0.12%,1237105,913.71M
SKT,"Tanger Factory Outlet Centers, Inc.",3.21B,-0.17%,406810,464.41M
EPR,EPR Properties,3.19B,0.83%,487039,705.67M
SBRA,"Sabra Health Care REIT, Inc.",3.17B,-0.58%,66622,647.51M
CTRE,"CareTrust REIT, Inc.",3.07B,-0.25%,690502,217.77M
JOE,The St. Joe Company,3.05B,1.73%,105357,389.29M
TCN,Tricon Residential Inc.,3.03B,-0.09%,797427,849.78M
SITC,SITE Centers Corp.,2.96B,1.58%,1798267,546.28M
DBRG,"DigitalBridge Group, Inc.",2.95B,-0.61%,1199042,821.38M
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.88B,0.63%,477271,319.87M
CDP,COPT Defense Properties,2.79B,0.16%,762274,684.98M
BNL,"Broadstone Net Lease, Inc.",2.79B,-0.41%,1388547,442.89M
DEI,"Douglas Emmett, Inc.",2.73B,0.74%,1448342,1.02B
ESRT,"Empire State Realty Trust, Inc.",2.72B,-0.21%,946023,739.57M
IIPR,"Innovative Industrial Properties, Inc.",2.70B,-0.13%,189944,309.51M
MPW,"Medical Properties Trust, Inc.",2.66B,-1.55%,14408259,871.80M
OUT,Outfront Media Inc.,2.64B,4.61%,2876310,1.82B
HIW,"Highwoods Properties, Inc.",2.64B,-0.65%,699409,834.00M
LXP,LXP Industrial Trust,2.62B,0.90%,2200886,340.50M
NMRK,"Newmark Group, Inc.",2.62B,1.79%,1499,2.47B
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,1.43%,67363,214.50M
ESBA,"Empire State Realty OP, L.P.",2.54B,-,630,739.57M
NHI,"National Health Investors, Inc.",2.53B,0.12%,111231,319.84M
ABR,"Arbor Realty Trust, Inc.",2.43B,0.86%,2341144,721.01M
SHO,"Sunstone Hotel Investors, Inc.",2.31B,-1.23%,701618,986.48M
CWK,Cushman & Wakefield plc,2.23B,-1.02%,1716377,9.49B
FCPT,"Four Corners Property Trust, Inc.",2.22B,-0.29%,248464,250.61M
UE,Urban Edge Properties,2.14B,0.47%,496761,416.92M
OPEN,Opendoor Technologies Inc.,2.02B,0.68%,604767,6.95B
DRH,DiamondRock Hospitality Company,2.00B,-0.42%,917519,1.07B
EQC,Equity Commonwealth,1.99B,1.02%,974450,60.52M
EXPI,"eXp World Holdings, Inc.",1.98B,4.50%,3408,4.28B
PEB,Pebblebrook Hotel Trust,1.95B,-0.49%,961587,1.42B
AKR,Acadia Realty Trust,1.86B,-0.54%,538223,338.69M
FOR,Forestar Group Inc.,1.85B,6.07%,343756,1.53B
GNL,"Global Net Lease, Inc.",1.72B,3.91%,1846599,515.07M
IVT,InvenTrust Properties Corp.,1.69B,-0.40%,362224,258.68M
CXW,"CoreCivic, Inc.",1.66B,0.61%,470121,1.90B
ROIC,Retail Opportunity Investments Corp.,1.63B,0.70%,1269210,327.73M
XHR,"Xenia Hotels & Resorts, Inc.",1.62B,-2.11%,702114,1.03B
AAT,"American Assets Trust, Inc.",1.60B,0.82%,253241,441.16M
JBGS,JBG SMITH Properties,1.59B,-0.23%,780401,604.20M
NXRT,"NexPoint Residential Trust, Inc.",1.58B,0.40%,110121,277.53M
ARI,"Apollo Commercial Real Estate Finance, Inc.",1.56B,0.73%,759315,344.59M
UNIT,Uniti Group Inc.,1.55B,-0.15%,931,1.15B
RC,Ready Capital Corporation,1.51B,2.83%,1148106,630.58M
VRE,"Veris Residential, Inc.",1.51B,1.15%,306742,279.86M
GTY,Getty Realty Corp.,1.47B,-0.15%,169751,186.42M
SAFE,Safehold Inc.,1.45B,-0.59%,130579,352.58M
LADR,Ladder Capital Corp,1.38B,1.11%,591556,264.21M
LTC,"LTC Properties, Inc.",1.37B,0.50%,163873,197.24M
CMTG,"Claros Mortgage Trust, Inc.",1.36B,1.14%,109646,306.55M
MMI,"Marcus & Millichap, Inc.",1.35B,0.43%,104586,645.93M
TWO,Two Harbors Investment Corp.,1.33B,-0.16%,674437,31.79M
BFS,"Saul Centers, Inc.",1.27B,0.05%,64302,257.21M
NTST,NETSTREIT Corp.,1.27B,0.58%,670511,131.91M
PMT,PennyMac Mortgage Investment Trust,1.24B,0.21%,415370,429.02M
ALEX,"Alexander & Baldwin, Inc.",1.21B,-0.54%,202009,208.90M
KW,"Kennedy-Wilson Holdings, Inc.",1.21B,0.71%,1335978,562.60M
DEA,"Easterly Government Properties, Inc.",1.20B,-0.34%,786306,287.23M
ELME,Elme Communities,1.15B,2.14%,500323,227.91M
MFA,"MFA Financial, Inc.",1.14B,0.81%,486665,248.45M
AIV,Apartment Investment and Management Company,1.12B,1.58%,696997,187.00M
UMH,"UMH Properties, Inc.",1.12B,-0.62%,269940,220.93M
ALX,"Alexander's, Inc.",1.10B,-0.95%,5714,224.96M
PGRE,"Paramount Group, Inc.",1.09B,0.88%,799921,742.79M
SVC,Service Properties Trust,1.08B,-1.23%,1273129,1.87B
CIM,Chimera Investment Corporation,1.07B,1.14%,1213863,252.64M
FBRT,"Franklin BSP Realty Trust, Inc.",1.05B,0.47%,216361,263.95M
