Symbol,Company Name,Market Cap,% Change,Volume,Revenue
MSFT,Microsoft Corporation,"2,987.71B",1.75%,239841,227.58B
AAPL,Apple Inc,"2,611.53B",-0.07%,1120900,385.71B
NVDA,NVIDIA Corporation,"2,316.73B",7.35%,3760818,60.92B
TSM,Taiwan Semiconductor Manufacturing Company Limited,778.65B,5.39%,30957591,70.35B
AVGO,Broadcom Inc.,652.04B,4.22%,240328,35.82B
ASML,ASML Holding N.V.,416.63B,4.33%,53866,30.62B
AMD,"Advanced Micro Devices, Inc.",339.11B,0.36%,1317497,22.68B
ORCL,Oracle Corporation,314.86B,2.02%,7582719,51.63B
CRM,"Salesforce, Inc.",293.35B,-0.44%,6778444,34.86B
ADBE,Adobe Inc.,251.63B,2.38%,89975,19.41B
ACN,Accenture plc,242.59B,1.60%,1150804,64.59B
SAP,SAP SE,228.56B,2.56%,935500,34.13B
CSCO,"Cisco Systems, Inc.",198.01B,-0.55%,382498,57.23B
QCOM,QUALCOMM Incorporated,196.10B,4.66%,125335,36.29B
INTC,Intel Corporation,195.12B,3.68%,876267,54.23B
INTU,Intuit Inc.,181.80B,-0.14%,64117,15.09B
IBM,International Business Machines Corporation,180.18B,0.19%,4593417,61.86B
AMAT,"Applied Materials, Inc.",176.66B,0.21%,29976,26.49B
UBER,"Uber Technologies, Inc.",163.30B,0.98%,12714756,37.28B
TXN,Texas Instruments Incorporated,159.37B,1.98%,7220,17.52B
NOW,"ServiceNow, Inc.",152.64B,3.65%,1575987,8.97B
LRCX,Lam Research Corporation,128.72B,1.29%,5030,14.32B
SONY,Sony Group Corporation,106.86B,0.15%,1004444,88.88B
MU,"Micron Technology, Inc.",105.49B,3.58%,441920,16.18B
KLAC,KLA Corporation,97.81B,1.09%,2333,9.67B
SHOP,Shopify Inc.,97.34B,1.78%,7179244,7.06B
ADI,"Analog Devices, Inc.",95.07B,3.41%,5945,11.57B
PANW,"Palo Alto Networks, Inc.",92.56B,2.73%,40179,7.53B
ANET,"Arista Networks, Inc.",89.76B,0.70%,1948093,5.86B
SNPS,"Synopsys, Inc.",88.99B,1.28%,6717,6.13B
FI,"Fiserv, Inc.",88.94B,-0.25%,1709721,19.09B
CDNS,"Cadence Design Systems, Inc.",86.58B,1.72%,4626,4.09B
DELL,Dell Technologies Inc.,85.07B,1.69%,9242223,91.15B
INFY,Infosys Limited,81.11B,0.31%,10104164,18.21B
CRWD,"CrowdStrike Holdings, Inc.",79.74B,0.03%,83397,3.06B
ARM,Arm Holdings plc,77.65B,2.82%,393771,2.96B
MRVL,"Marvell Technology, Inc.",73.56B,4.57%,1740196,5.50B
WDAY,"Workday, Inc.",69.63B,-0.82%,5063,7.26B
APH,Amphenol Corporation,66.79B,0.76%,1649936,12.55B
NXPI,NXP Semiconductors N.V.,64.44B,3.10%,4081,13.28B
SMCI,"Super Micro Computer, Inc.",62.91B,3.12%,548046,9.25B
PLTR,Palantir Technologies Inc.,59.10B,1.15%,115756466,2.23B
COIN,"Coinbase Global, Inc.",58.78B,1.71%,488219,3.11B
MSI,"Motorola Solutions, Inc.",55.52B,-0.99%,492157,9.98B
FTNT,"Fortinet, Inc.",54.42B,2.45%,663487,5.30B
SNOW,Snowflake Inc.,54.09B,0.86%,8492856,2.81B
ADSK,"Autodesk, Inc.",53.71B,1.09%,1166,5.38B
TEAM,Atlassian Corporation,52.64B,2.43%,4481,3.89B
MCHP,Microchip Technology Incorporated,49.99B,6.30%,14523,8.54B
SQ,"Block, Inc.",47.41B,2.24%,6197313,21.92B
TEL,TE Connectivity Ltd.,43.99B,0.74%,1370981,16.02B
STM,ST Microelectronics,43.89B,3.65%,3894160,17.29B
DDOG,"Datadog, Inc.",41.00B,-1.36%,68913,2.13B
TTD,"The Trade Desk, Inc.",40.14B,-0.43%,10995,1.95B
FIS,"Fidelity National Information Services, Inc.",39.86B,-0.46%,2117948,9.82B
CTSH,Cognizant Technology Solutions Corporation,38.56B,1.00%,368132,19.35B
MPWR,"Monolithic Power Systems, Inc.",37.35B,4.95%,892,1.82B
IT,"Gartner, Inc.",36.64B,0.22%,488940,5.91B
ON,ON Semiconductor Corporation,35.67B,6.88%,40097,8.25B
CDW,CDW Corporation,33.33B,0.47%,6255,21.38B
NET,"Cloudflare, Inc.",33.24B,3.34%,3842317,1.30B
FICO,Fair Isaac Corporation,33.18B,3.64%,150687,1.55B
WIT,Wipro Limited,32.78B,1.48%,1416688,11.04B
HUBS,"HubSpot, Inc.",31.11B,0.39%,218462,2.17B
ZS,"Zscaler, Inc.",30.16B,-0.57%,34345,1.90B
MDB,"MongoDB, Inc.",29.97B,0.61%,149860,1.59B
FTV,Fortive Corporation,29.85B,0.93%,693354,6.07B
GFS,GLOBALFOUNDRIES Inc.,29.76B,2.34%,12614,7.39B
HPQ,HP Inc.,29.69B,1.09%,13019650,53.11B
ANSS,"ANSYS, Inc.",29.53B,1.05%,627,2.27B
GLW,Corning Incorporated,27.82B,-0.64%,6427262,12.59B
KEYS,"Keysight Technologies, Inc.",27.55B,0.10%,1004961,5.34B
GIB,CGI Inc.,27.41B,2.62%,135900,-
GRMN,Garmin Ltd.,26.84B,1.06%,766135,5.23B
SPLK,Splunk Inc.,26.35B,0.08%,2043,4.22B
ASX,"ASE Technology Holding Co., Ltd.",25.11B,9.90%,9166062,18.94B
TEF,"Telefónica, S.A.",24.12B,-0.24%,567399,45.17B
BR,"Broadridge Financial Solutions, Inc.",24.10B,0.93%,498912,6.32B
HPE,Hewlett Packard Enterprise Company,23.49B,-3.14%,29447264,28.08B
PTC,PTC Inc.,22.27B,1.88%,694244,2.18B
APP,AppLovin Corporation,21.61B,0.91%,24698,3.28B
NTAP,"NetApp, Inc.",21.51B,-0.52%,212,6.18B
ENTG,"Entegris, Inc.",21.35B,4.43%,10801,3.52B
MSTR,MicroStrategy Incorporated,21.15B,4.32%,71698,496.26M
WDC,Western Digital Corporation,20.95B,-0.65%,10643,11.26B
UMC,United Microelectronics Corporation,20.71B,4.30%,9840788,8.15B
FLT,"FLEETCOR Technologies, Inc.",20.68B,2.75%,632476,3.76B
ZM,"Zoom Video Communications, Inc.",20.43B,0.92%,19664,4.53B
NOK,Nokia Oyj,20.39B,0.82%,15936862,24.73B
TDY,Teledyne Technologies Incorporated,20.28B,0.64%,91747,5.64B
JBL,Jabil Inc.,19.54B,0.87%,1027926,33.45B
STX,Seagate Technology Holdings plc,19.34B,-0.35%,41324,6.47B
VRSN,"VeriSign, Inc.",19.31B,0.68%,5,1.49B
OKTA,"Okta, Inc.",18.75B,2.38%,7834,2.26B
ERIC,Telefonaktiebolaget LM Ericsson (publ),18.69B,0.18%,26847,26.11B
IOT,Samsara Inc.,18.56B,3.03%,5791638,847.69M
CHKP,Check Point Software Technologies Ltd.,18.53B,0.42%,2201,2.41B
EPAM,"EPAM Systems, Inc.",18.19B,1.49%,548755,4.69B
PSTG,"Pure Storage, Inc.",17.94B,0.40%,3377080,2.83B
TYL,"Tyler Technologies, Inc.",17.94B,0.53%,121851,1.95B
LDOS,"Leidos Holdings, Inc.",17.63B,-0.03%,695872,15.44B
ENPH,"Enphase Energy, Inc.",17.61B,3.45%,53463,2.29B
SWKS,"Skyworks Solutions, Inc.",17.27B,3.16%,5574,4.64B
AKAM,"Akamai Technologies, Inc.",17.10B,2.42%,2440,3.81B
FSLR,"First Solar, Inc.",17.06B,1.22%,22619,3.32B
MANH,"Manhattan Associates, Inc.",16.38B,4.42%,473,928.73M
TER,"Teradyne, Inc.",16.34B,3.04%,1531,2.68B
GDDY,GoDaddy Inc.,16.25B,3.88%,1989363,4.25B
NTNX,"Nutanix, Inc.",15.77B,1.15%,4904,2.02B
SSNC,"SS&C Technologies Holdings, Inc.",15.45B,-0.19%,844852,5.50B
NICE,NICE Ltd.,15.40B,0.81%,212451,2.38B
TRMB,Trimble Inc.,15.34B,0.11%,189,3.80B
ZBRA,Zebra Technologies Corporation,14.83B,0.46%,8,4.58B
BSY,"Bentley Systems, Incorporated",14.72B,-0.38%,22578,1.23B
