Symbol,Company Name,Market Cap,% Change,Volume,Revenue
NEE,"NextEra Energy, Inc.",114.41B,1.30%,10145310,28.11B
SO,The Southern Company,75.55B,0.98%,4153503,25.25B
DUK,Duke Energy Corporation,72.83B,0.44%,2118359,29.06B
CEG,Constellation Energy Corporation,56.99B,-0.03%,1401,24.92B
NGG,National Grid plc,51.00B,0.44%,246927,26.10B
SRE,Sempra,44.98B,-0.06%,2587372,16.72B
AEP,"American Electric Power Company, Inc.",44.25B,0.21%,18040,18.98B
PCG,PG&E Corporation,43.26B,0.61%,12407677,24.43B
D,"Dominion Energy, Inc.",39.44B,1.89%,8409674,14.39B
EXC,Exelon Corporation,36.81B,0.44%,83050,21.73B
PEG,Public Service Enterprise Group Incorporated,32.54B,1.51%,2788450,11.24B
ED,"Consolidated Edison, Inc.",31.04B,0.10%,1007854,14.66B
XEL,Xcel Energy Inc.,26.89B,3.30%,4847,14.21B
EIX,Edison International,26.52B,1.04%,1193410,16.34B
WEC,"WEC Energy Group, Inc.",25.73B,0.41%,1411995,8.89B
AWK,"American Water Works Company, Inc.",23.10B,-1.41%,1750699,4.23B
DTE,DTE Energy Company,23.07B,0.81%,751410,12.75B
ETR,Entergy Corporation,21.89B,0.14%,1149939,12.15B
FE,FirstEnergy Corp.,21.52B,1.01%,2128563,12.87B
VST,Vistra Corp.,21.47B,1.28%,5413860,14.78B
ES,Eversource Energy,20.81B,1.57%,2186784,11.91B
ELPC,Cia Paranaense De Energia Copel,20.11B,-1.21%,-,4.15B
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,20.01B,-0.23%,323582,6.75B
PPL,PPL Corporation,19.83B,1.08%,5494096,8.31B
FTS,Fortis Inc.,19.75B,2.08%,789337,8.66B
AEE,Ameren Corporation,19.46B,-0.05%,1070047,7.50B
CNP,"CenterPoint Energy, Inc.",17.88B,0.04%,2919247,8.70B
CMS,CMS Energy Corporation,17.69B,-0.36%,1882688,7.46B
ATO,Atmos Energy Corporation,17.38B,0.34%,683313,3.95B
BEP,Brookfield Renewable Partners L.P.,15.62B,6.05%,635960,5.04B
AGR,"Avangrid, Inc.",13.95B,12.97%,4969176,8.31B
BIP,Brookfield Infrastructure Partners L.P.,13.73B,4.62%,642126,16.67B
NRG,"NRG Energy, Inc.",12.61B,-1.37%,3186788,28.82B
LNT,Alliant Energy Corporation,12.54B,0.16%,1915613,4.03B
